"Grid Analyse Result
"
"Source Cloud Points: 118_Disaster_3
","Target Cloud Points: 135
"


Mean: Change Between BaseLine And Target
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.01185,0.00414,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00574,0.00498,0.00462,0.00382,0.00548,0.00383,0.00569,0.00411,0.00506,0.00233,0.00372,0.00752,-0.04059,nan,-0.0068,0.00568,0.0,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00191,0.00393,0.0044,0.00392,0.00377,0.00598,0.00537,0.00506,0.00438,0.00453,0.00305,0.00255,0.00471,0.0099,nan,nan,-0.00402,0.01058,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.02054,0.00385,0.00552,0.00585,0.00448,0.00572,0.00406,0.0056,0.00492,0.00445,0.00406,0.00329,0.00316,0.00347,0.00715,0.00895,nan,nan,0.00463,0.02616,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00849,-0.00226,0.00154,0.00676,0.00668,0.00456,0.00333,0.0058,0.00438,0.00423,0.00296,0.00388,0.00416,0.0025,0.00412,0.00245,0.00693,-0.04517,nan,0.00597,0.0175,-0.05151,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00531,-0.00365,-0.00086,-0.00062,0.00236,0.00716,0.00645,0.006,0.00383,0.00473,0.00416,0.00428,0.00408,0.0049,0.00498,0.00341,0.00363,0.00483,0.01277,nan,nan,0.00276,0.03498,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00638,0.00366,0.00221,-0.00199,-0.0009,0.00072,0.0044,0.00587,0.00595,0.00494,0.00591,0.00274,0.00455,0.00405,0.00377,0.00485,0.00429,0.00436,0.00321,0.00714,0.04394,nan,-0.07078,0.00971,-0.08263,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00682,0.00014,0.00341,0.0026,-0.00385,-0.00228,-0.00174,0.00048,0.00648,0.00632,0.00535,0.00474,0.0046,0.00432,0.00466,0.00456,0.00456,0.00515,0.00467,0.00563,0.00457,0.01306,0.0,nan,-0.00875,0.01434,0.0,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00482,0.00119,0.00177,0.05678,0.00408,0.00099,-0.00652,-0.00033,-0.00291,0.00227,0.00636,0.00491,0.00296,0.00358,0.00389,0.0048,0.00522,0.00426,0.00437,0.00547,0.0039,0.00395,0.00746,0.01275,nan,nan,0.0038,0.03392,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00046,0.00184,0.00183,0.44365,1.02411,0.17106,0.003,-0.00021,-0.00401,-0.00174,-0.00149,0.00408,0.00585,0.00516,0.00473,0.00427,0.00521,0.00513,0.00516,0.00578,0.00596,0.00657,0.00508,0.00512,0.00841,0.02046,nan,nan,0.00582,-0.02894,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00588,0.009,-0.00179,0.03734,1.04753,1.13528,1.15483,0.00082,0.00251,-0.00535,-0.00408,-0.0022,0.0013,0.00703,0.00608,0.00498,0.00491,0.00398,0.00506,0.00575,0.00481,0.00561,0.00571,0.00484,0.0062,0.00597,0.01247,nan,nan,-0.01354,0.01116,nan,nan,nan
