"Grid Analyse Result
"
"Source Cloud Points: 118_Disaster_2
","Target Cloud Points: 135
"


Mean: Change Between BaseLine And Target
nan,nan,nan,nan,nan,nan,0.17008,0.06505,0.05037,0.04215,0.05704,0.05841,0.06642,0.06111,0.06517,0.11394,0.07178,0.07115,0.08844,nan,nan,nan,nan
nan,nan,nan,nan,0.0,0.10749,0.097,0.10242,0.05265,0.04276,0.05474,0.06,0.08199,0.08085,0.12261,0.17925,0.10398,0.09455,0.06134,0.082,nan,nan,nan
nan,nan,nan,0.0,0.09233,0.09675,0.10981,0.11957,0.08603,0.04779,0.05652,0.06318,0.08425,0.10746,0.29754,0.13502,0.11698,0.09504,0.0724,0.06475,nan,nan,nan
nan,nan,0.0,0.10258,0.09018,0.08741,0.08258,0.09023,0.1138,0.08038,0.04947,0.06113,0.0875,0.11534,0.13544,0.0,0.17966,0.12042,0.10269,0.07771,nan,nan,nan
nan,0.18675,0.08926,0.06761,0.07049,0.08424,0.06693,0.0563,0.05677,0.06029,0.05667,0.05246,0.09618,0.19405,0.24283,0.51264,0.09691,0.09217,0.11887,0.0941,0.09143,nan,nan
0.25938,0.14357,0.10457,0.09312,0.11242,0.10854,0.11494,0.11825,0.10493,0.11814,0.07281,0.05683,0.05518,0.09575,0.10379,0.17139,0.09438,0.09817,0.09286,0.09224,0.09122,0.10362,nan
0.12304,0.13277,0.12973,0.12284,0.12927,0.17519,0.14227,0.1155,0.35677,0.49274,0.06904,0.06042,0.06806,0.08084,0.1145,0.11347,0.13901,0.0839,0.13993,0.10157,0.07466,0.14112,0.09869
0.13646,0.1118,0.1419,0.12026,0.12132,0.15897,0.37397,nan,0.14417,0.1905,0.08653,0.06218,0.06344,0.06434,0.07132,0.09882,0.0946,0.0,0.11571,0.08765,0.10915,0.09692,0.03716
nan,0.10886,0.11856,0.13975,0.11537,0.15223,0.15913,0.0,0.15265,0.12346,0.15263,0.10811,0.07207,0.07678,0.07551,0.08225,0.11192,0.35525,0.15073,0.24342,0.14578,0.05562,nan
nan,0.17076,0.11613,0.15138,0.15796,0.16098,0.12852,0.18423,0.27763,0.2792,0.14765,0.12383,0.07721,0.07923,0.07308,0.08088,0.12009,0.14768,0.21139,0.12827,0.06435,nan,nan
nan,nan,0.09342,0.15841,0.12587,0.12885,0.11133,0.12285,0.19472,0.14844,0.3432,0.12112,0.10491,0.07969,0.079,0.08732,0.12239,0.12668,0.1738,0.08348,nan,nan,nan
nan,nan,nan,0.12064,0.16421,0.14279,0.1668,0.19137,0.13476,0.318,0.13094,0.111,0.09449,0.07988,0.08866,0.08705,0.10999,0.06673,0.0694,nan,nan,nan,nan
nan,nan,nan,0.13835,0.10791,0.12718,0.12147,0.15138,0.13439,0.11343,0.09615,0.09772,0.09325,0.08927,0.09074,0.09527,0.06682,0.05189,nan,nan,nan,nan,nan
nan,nan,nan,nan,0.10261,0.18342,0.14045,0.10469,0.109,0.11401,0.09753,0.2506,0.29922,0.14947,0.1054,0.07665,0.05963,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,0.12256,0.16781,0.26869,0.14398,0.12253,0.1122,0.12811,0.36495,0.0,nan,0.10612,0.07976,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,0.16391,0.1853,0.23508,0.16377,0.1703,0.19545,0.3839,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,0.14395,0.21315,0.23595,0.14612,0.23161,0.17933,0.16948,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,0.15958,0.16843,0.17672,0.16433,0.16918,0.18515,0.40753,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,0.31786,0.16764,0.23289,0.17084,0.14163,0.07245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,0.19263,0.21407,0.11581,0.0836,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,0.36808,0.19145,0.0695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan


Exception Block Detail INFO
Row,Column,Mean Change
5,6,0.12378
9,1,0.13497
9,15,0.29473
10,0,0.16439
11,8,0.35677
11,9,0.38002
12,6,0.15895
13,17,0.22936
13,19,0.12964
14,1,0.12992
14,8,0.19439
14,9,0.15569
15,8,0.13267
15,10,0.26765
16,7,0.12993
16,9,0.23833
18,5,0.12853
19,6,0.21474
19,11,0.17592
20,7,0.16408
20,11,0.24822
21,6,0.15566
21,7,0.17031
21,9,0.14814
22,12,0.29973
23,6,0.23591
23,8,0.1589
24,7,0.12399
24,8,0.131
25,8,0.1305
